"filename", "language", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\VideoPlayer\types.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\GetCreatedTimeText.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\GetFileUrl.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\GetUrlParams.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 5, 15
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\IsRightImageFormat.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\IsRightVideoFormat.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\QeuriesUrls.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\helpers\SortVideosByOrder.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useAuth.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useOnScrollEnd.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 8, 31
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useOwnChannel.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useProtected.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useTrigger.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideo.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideoGlobal.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideoMarks.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 8, 42
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideos.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 8, 52
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\hooks\useVideosWithPagination.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 14, 49
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\index.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\modules.d.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\ChannelStore.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\SearchDataStore.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 11, 40
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\StoreWrapper.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\UserStore.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 8, 29
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\stores\VideoStore.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\styles\Base.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\styles\Fonts.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\styles\Inputs.scss", "SCSS", 0, 0, 0, 0, 0, 35, 0, 0, 20, 55
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\styles\Mixins.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\styles\Variables.scss", "SCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\styles\animations.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\AuthState.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\PropsBase.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\SelectOptions.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 8, 28
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\ServerError.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 8, 28
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\StatusBase.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\models\ChannelModel.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\models\CommentModel.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\models\PlaylistModel.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 10, 30
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\models\ReportModel.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\models\UserModel.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\types\models\VideoModel.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 11, 39
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\tsconfig.json", "JSON with Comments", 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\webpack.config.js", "JavaScript", 0, 0, 0, 0, 61, 0, 0, 0, 2, 63
"Total", "-", 6872, 24, 3361, 719, 78686, 1207, 22, 17577, 14699, 123167
